ts,pair,ms,gate,covered
2026-08-20 20:51:29,XRPUSDT,1787259089000,DEADBAND5M,False
2026-08-20 20:56:47,AVAXUSDT,1787259407000,DEADBAND5M,False
2026-08-20 21:00:36,INJUSDT,1787259636000,DEADBAND5M,False
2026-08-20 21:03:44,ASTERUSDT,1787259824000,DEADBAND5M,False
2026-08-20 21:03:53,1000SHIBUSDT,1787259833000,DEADBAND5M,False
2026-08-20 21:03:54,DOTUSDT,1787259834000,DEADBAND5M,False
2026-08-20 21:05:12,DOGEUSDT,1787259912000,DEADBAND5M,False
2026-08-20 21:05:29,AAVEUSDT,1787259929000,DEADBAND5M,False
2026-08-20 21:07:01,ADAUSDT,1787260021000,DEADBAND5M,False
2026-08-20 21:07:09,NEARUSDT,1787260029000,DEADBAND5M,False
2026-08-20 21:15:21,SOLUSDT,1787260521000,DEADBAND5M,True
2026-08-20 21:15:38,ONDOUSDT,1787260538000,DEADBAND5M,True
2026-08-20 21:17:12,LITUSDT,1787260632000,DEADBAND5M,True
2026-08-20 21:23:59,XLMUSDT,1787261039000,DEADBAND5M,True
2026-08-20 21:27:40,ARBUSDT,1787261260000,DEADBAND5M,False
