key,era,actual,A_jun_arm070_nolock,B_base_arm045_nolock,C_arm045_lock010,D_today_arm040_lock010,E_arm040_nolock,F_arm050_lock010,G_arm060_lock010
83,BASE,-0.804283162125951,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
84,BASE,0.6321814333232612,0.91,0.91,0.91,0.91,0.91,0.91,0.91
85,BASE,-0.987187103174598,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
86,BASE,-0.7035630580357211,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
87,BASE,-0.3291267942583635,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
88,BASE,0.7580848030925244,0.91,0.91,0.91,0.91,0.91,0.91,0.91
89,BASE,0.7128514056224804,0.91,0.91,0.91,0.91,0.91,0.91,0.91
90,BASE,0.2162039106145219,0.4579705152079404,0.1786409062693904,0.1786409062693904,0.1786409062693904,0.1786409062693904,0.1786409062693904,0.4579705152079404
99,B1,0.5907754360465068,0.91,0.91,0.91,0.91,0.91,0.91,0.91
105,B1,0.2732641545524152,0.91,0.91,0.91,-0.009999999999999995,0.91,0.91,0.91
127,B1,0.1758639542902137,-0.85,0.15882103241058348,0.15882103241058348,0.15882103241058348,0.15882103241058348,0.15882103241058348,-0.85
128,B1,0.6632387433483504,0.91,0.91,0.91,0.91,0.91,0.91,0.91
130,B1,0.1949181327703379,-0.85,0.14863461448241355,0.14863461448241355,-0.009999999999999995,-0.06428875115033096,0.14863461448241355,0.14863461448241355
132,B1,-0.8305070386485857,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
137,B1,0.0832042905899535,-0.85,-0.15077625548513385,-0.009999999999999995,-0.009999999999999995,-0.15077625548513385,-0.009999999999999995,-0.85
138,B1,-0.693817863212953,-0.85,-0.85,-0.85,0.03735506923675018,0.03735506923675018,-0.85,-0.85
177,B1,0.1804044366292516,0.37484697687001356,0.1719523468145412,0.1719523468145412,0.1719523468145412,0.1719523468145412,0.1719523468145412,0.37484697687001356
194,B1,0.4494468180795978,0.91,0.91,0.91,0.91,0.91,0.91,0.91
195,B1,-0.7363304235370067,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
199,B1,1.000094029489972,0.91,0.91,0.91,0.91,0.91,0.91,0.91
204,B1,0.0865586034912691,0.26834264339151104,0.018966084788024182,0.018966084788024182,0.018966084788024182,0.018966084788024182,0.018966084788024182,0.04390374064835954
209,B1,0.2341635135135047,0.91,0.20356756756757288,0.20356756756757288,0.20356756756757288,0.20356756756757288,0.20356756756757288,0.91
291,B1,-0.6939105372978699,-0.85,-0.06890104329682024,-0.009999999999999995,-0.009999999999999995,-0.06890104329682024,-0.009999999999999995,-0.85
292,B1,-0.6939441883363893,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
321,B1,2.43663398322375,0.91,0.91,0.91,0.91,0.91,0.91,0.91
326,B1,-1.0142866578599674,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
327,B1,0.5902013677811505,0.91,0.91,0.91,0.91,0.91,0.91,0.91
328,B1,0.2836647398843869,0.91,0.91,0.91,0.91,0.91,0.91,0.91
329,B1,-1.0148975545274372,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
330,B1,0.1663474558883876,0.15549076733690648,0.15549076733690648,0.15549076733690648,0.15549076733690648,0.15549076733690648,0.15549076733690648,0.15549076733690648
336,B2,-0.7939084507042141,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
359,B2,0.0699919967987233,-0.85,-0.85,-0.85,-0.009999999999999995,-0.194639935974388,-0.85,-0.85
368,B2,0.2791930303517015,0.4500321663722482,0.2733820941063212,0.2733820941063212,0.2733820941063212,0.2733820941063212,0.2733820941063212,0.2733820941063212
369,B2,0.1217690677966064,-0.85,0.11317175141243528,0.11317175141243528,0.11317175141243528,0.11317175141243528,0.11317175141243528,-0.85
381,B2,0.3826004728132502,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
387,B2,0.546097213078778,0.5352868553873104,0.5352868553873104,0.5352868553873104,0.5352868553873104,0.5352868553873104,0.5352868553873104,0.5352868553873104
394,B2,0.4269754901960639,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
398,B2,0.7461338370210325,0.91,0.91,0.91,0.91,0.91,0.91,0.91
406,B2,0.9797836202885072,0.91,0.91,0.91,0.91,0.91,0.91,0.91
415,B2,0.7505241454150697,0.91,0.91,0.91,0.91,0.91,0.91,0.91
423,B2,0.2611299765807966,0.33677611241217875,0.27822810304451384,0.27822810304451384,0.27822810304451384,0.27822810304451384,0.27822810304451384,0.27822810304451384
432,B2,-0.8467558808154738,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
433,B2,0.3391178160919416,0.30362643678163104,0.30362643678163104,0.30362643678163104,0.30362643678163104,0.30362643678163104,0.30362643678163104,0.30362643678163104
440,B3,0.2793116438356143,0.91,0.91,0.91,0.91,0.91,0.91,0.91
442,B3,0.1316104421162381,0.11533744294221869,0.11533744294221869,0.11533744294221869,0.11533744294221869,0.11533744294221869,0.11533744294221869,0.11533744294221869
443,B3,0.0986181984346435,-0.85,-0.058986788208283694,-0.009999999999999995,-0.009999999999999995,-0.058986788208283694,-0.009999999999999995,0.039433795753860676
444,B3,0.4344023336955953,0.4016522316917397,0.4016522316917397,0.4016522316917397,0.4016522316917397,0.4016522316917397,0.4016522316917397,0.4016522316917397
445,B3,0.9917640692640668,0.91,0.91,0.91,0.91,0.91,0.91,0.91
446,B3,-0.8104829408937926,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
447,B3,0.0760841872057726,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
448,B3,0.099266540432159,0.91,0.026586879037643382,0.026586879037643382,0.026586879037643382,0.026586879037643382,0.18252361327688044,0.18252361327688044
449,B3,0.0943702239789139,0.018062450592881238,-0.19274123847166136,-0.009999999999999995,-0.009999999999999995,-0.19274123847166136,-0.009999999999999995,0.018062450592881238
450,B3,0.0920673952641217,0.91,-0.050351912568305415,-0.009999999999999995,-0.009999999999999995,-0.050351912568305415,-0.009999999999999995,0.04072276867030665
451,B3,0.1666008096754919,0.1207067997512624,0.1207067997512624,0.1207067997512624,0.1207067997512624,0.1207067997512624,0.1207067997512624,0.1207067997512624
472,B3,-0.8834367670936273,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
473,B3,0.9467510677242263,0.91,0.91,0.91,0.91,0.91,0.91,0.91
474,B3,0.1616295507358686,0.91,-0.047043996901612276,-0.009999999999999995,-0.009999999999999995,-0.047043996901612276,0.1466043377226845,0.1466043377226845
480,B3,0.0896136567834764,0.91,-0.46271644204850815,-0.009999999999999995,-0.009999999999999995,-0.46271644204850815,-0.009999999999999995,-0.009999999999999995
490,B3,0.092810213843552,-0.85,-0.11946572875633667,-0.009999999999999995,-0.009999999999999995,-0.11946572875633667,-0.009999999999999995,-0.85
491,B3,0.0850376184834124,0.91,0.91,-0.009999999999999995,-0.009999999999999995,0.91,-0.009999999999999995,-0.009999999999999995
492,B3,1.1984488685190544,-0.85,-0.743778602119732,-0.009999999999999995,-0.009999999999999995,-0.743778602119732,-0.85,-0.85
507,B3,-0.74248834317687,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
508,B3,0.7083094841930166,0.91,0.91,0.91,0.91,0.91,0.91,0.91
510,B3,0.6862124955877091,0.91,0.91,0.91,0.91,0.91,0.91,0.91
511,B3,0.699917933130693,0.91,0.91,0.91,0.91,0.91,0.91,0.91
527,B3,-0.6937552750936705,0.91,0.018079432064677145,0.018079432064677145,0.018079432064677145,0.018079432064677145,0.10188933149281047,0.91
529,B3,-0.6985943084050324,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
533,B3,-0.6979608546475312,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
540,B3,0.0892225922131154,0.91,0.91,0.91,0.91,0.91,0.91,0.91
541,B3,0.3834068145323094,0.33926523484544147,0.33926523484544147,0.33926523484544147,0.33926523484544147,0.33926523484544147,0.33926523484544147,0.33926523484544147
542,B3,0.2039852941176384,0.42877700534759466,0.18813529411764496,0.18813529411764496,0.18813529411764496,0.18813529411764496,0.18813529411764496,0.42877700534759466
547,B4,-0.7624863804104922,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
552,B4,0.1165696553976915,-0.85,-0.10236113016494382,-0.009999999999999995,-0.009999999999999995,-0.10236113016494382,-0.85,-0.85
553,B4,-0.9206072491682642,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
561,B4,0.1439040561622485,0.312057989748145,0.1894816581234542,0.1894816581234542,0.1894816581234542,0.1894816581234542,0.1894816581234542,0.1894816581234542
562,B4,0.5679898582220837,0.5113852737245234,0.5113852737245234,0.5113852737245234,0.5113852737245234,0.5113852737245234,0.5113852737245234,0.5113852737245234
563,B5,0.5943073160057113,0.91,0.91,0.91,-0.009999999999999995,0.91,0.91,0.91
564,B5,0.0608144214480463,0.91,-0.09423864361548008,-0.009999999999999995,-0.009999999999999995,-0.09423864361548008,-0.009999999999999995,-0.009999999999999995
565,B5,0.71513467311016,0.91,0.91,0.91,0.91,0.91,0.91,0.91
567,B5,0.0468406550417602,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
576,B6,-1.9904829147259857,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
577,B6,0.1931204478014592,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
578,B6,0.0993622307784924,-0.85,-0.07068126579232571,-0.009999999999999995,-0.009999999999999995,-0.07068126579232571,-0.009999999999999995,-0.009999999999999995
579,B7,-1.1900925027591729,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
582,B7,0.0981022564469847,-0.85,0.03438681948423204,0.03438681948423204,0.03438681948423204,0.03438681948423204,0.03438681948423204,-0.85
